,PLAT,NET,NAME,REPTYPE,LAT,LON,CLIMATE SUMMARY,AVAILABILITY,STATION OPS,OP MODE,TYPE,MOVING
133,UAAA,ICAO,ALMATY,METAR,43.352072,77.040508,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
134,LEAM,ICAO,ALMERIA,METAR,36.843936,-2.370097,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
135,SKRH,ICAO,ALMIRANTE PADILLA,METAR,11.526222,-72.925958,UNAVAILABLE,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
136,KAPN,ICAO,ALPENA CO RGNL,METAR,45.078068,-83.560287,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
137,K46U,ICAO,ALPINE,METAR,43.184644,-111.042433,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
138,LSMA,ICAO,ALPNACH,METAR,46.943889,8.284167,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
139,ENAT,ICAO,ALTA,METAR,69.976111,23.371667,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
140,SBAT,ICAO,ALTA FLORESTA,METAR,-9.866092,-56.10620600000001,JMCLIM,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
141,SBHT,ICAO,ALTAMIRA,METAR,-3.253906,-52.253978,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
142,EDAC,ICAO,ALTENBURG NOBITZ,METAR,50.981817,12.506361,LIMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
143,ETHA,ICAO,ALTENSTADT,METAR,47.8333333,10.866666699999998,UNAVAILABLE,DATA LIMITED,FULL TIME,PRIMARY AUTO,SFC_OBS,1
144,KAOO,ICAO,ALTOONA BLAIR CO,METAR,40.296372,-78.320022,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
145,KAAT,ICAO,ALTURAS MUNI,METAR,41.483,-120.56536,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
146,KLTS,ICAO,ALTUS AFB,METAR,34.667067,-99.266681,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
147,KAXS,ICAO,ALTUS QUARTZ MOUNTAIN RGNL,METAR,34.696389,-99.340278,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
148,KAVK,ICAO,ALVA RGNL,METAR,36.773169,-98.669947,LIMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
149,LPAR,ICAO,ALVERCA,METAR,38.883278,-9.030097,UNAVAILABLE,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
150,UOOO,ICAO,ALYKEL,METAR,69.311053,87.332183,UNAVAILABLE,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
151,RJDA,ICAO,AMAKUSA,METAR,32.482503,130.15886899999998,UNAVAILABLE,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
152,RJKA,ICAO,AMAMI,METAR,28.430633,129.71254199999998,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
153,MHAM,ICAO,AMAPALA/LOS PELONAS,METAR,13.2833333,-87.66666670000001,LEGACY_OCDS,DATA INCOMPLETE,PART TIME,UNKNOWN,SFC_OBS,1
154,EEEI,ICAO,AMARI,METAR,59.260286,24.208467,MINCLIM,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
155,YAMB,ICAO,AMBERLEY,METAR,-27.640556,152.711944,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
